date,cases,day_of_week
2021-01-07,48132,4
2021-01-08,43494,5
2021-01-09,36420,6
2021-01-10,33749,7
2021-01-11,53519,1
2021-01-12,45968,2
2021-01-13,42302,3
2021-01-14,39660,4
2021-01-15,37878,5
2021-01-16,28413,6
2021-01-17,26976,7
2021-01-18,41936,1
2021-01-19,37054,2
2021-01-20,32678,3
2021-01-21,29632,4
2021-01-22,27741,5
2021-01-23,20425,6
2021-01-24,15883,7
2021-01-25,27972,1
2021-01-26,25209,2
2021-01-27,23899,3
2021-01-28,22523,4
2021-01-29,20363,5
2021-01-30,15524,6
2021-01-31,14138,7
2021-02-01,20764,1
2021-02-02,18193,2
2021-02-03,17948,3
2021-02-04,16717,4
2021-02-05,14461,5
2021-02-06,10951,6
2021-02-07,10458,7
2021-02-08,14370,1
2021-02-09,12696,2
2021-02-10,12272,3
2021-02-11,11637,4
2021-02-12,10986,5
2021-02-13,8025,6
2021-02-14,7781,7
2021-02-15,12953,1
2021-02-16,11268,2
2021-02-17,10419,3
2021-02-18,10303,4
2021-02-19,9246,5
2021-02-20,7161,6
2021-02-21,7033,7
2021-02-22,10279,1
2021-02-23,8536,2
2021-02-24,7620,3
2021-02-25,6933,4
2021-02-26,5883,5
2021-02-27,4254,6
2021-02-28,4112,7
2021-03-01,6215,1
2021-03-02,5950,2
2021-03-03,5305,3
2021-03-04,5011,4
2021-03-05,4728,5
2021-03-06,3832,6
2021-03-07,3677,7
2021-03-08,5818,1
2021-03-09,5488,2
2021-03-10,5222,3
2021-03-11,4848,4
2021-03-12,4767,5
2021-03-13,3592,6
2021-03-14,3707,7
2021-03-15,5643,1
2021-03-16,4933,2
2021-03-17,5047,3
2021-03-18,4689,4
2021-03-19,4333,5
2021-03-20,3514,6
2021-03-21,4679,7
2021-03-22,5400,1
2021-03-23,4566,2
2021-03-24,5321,3
2021-03-25,4674,4
2021-03-26,3803,5
2021-03-27,3136,6
2021-03-28,4477,7
2021-03-29,3422,1
2021-03-30,3135,2
2021-03-31,3340,3
